"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒆠𒂊𒉈𒁲","𒆠𒂊𒉈𒁲","KI.E.NE.DI","KI.E.NE.DI (EŠEMEN, EŠEMIN)","KI.E.NE.DI (EŠEMEN, EŠEMIN)","737+498+313+736","461+308+172+457","U+121A0 & U+1208A & U+12248 & U+12072 (KI & E & NE & DI)","KI.E.NE.DI (EŠEMEN, EŠEMIN)","KI.E.NE.DI (ESHEMEN, ESHEMIN)","–",737
"𒆠𒂊𒉈𒁲𒀭𒈹","𒆠𒂊𒉈𒁲𒀭𒈹","KI.E.NE.DI.AN.MUŠ₃","KI.E.NE.DI.AN.MUŠ3 (KI.E.NE.DI.DINGIRINNIN; EŠEMEN2, EŠEMIN2)","KI.E.NE.DI.AN.MUŠ<sub>3</sub> (KI.E.NE.DI.<sup>DINGIR</sup>INNIN; EŠEMEN<sub>2</sub>, EŠEMIN<sub>2</sub>)","737+498+313+736+010+153","461+308+172+457+013+103","U+121A0 & U+1208A & U+12248 & U+12072 & U+1202D & U+12239 (KI & E & NE & DI & AN & MUSH3)","KI.E.NE.DI.AN.MUŠ3 (KI.E.NE.DI.DINGIRINNIN; EŠEMEN2, EŠEMIN2)","KI.E.NE.DI.AN.MUSH3 (KI.E.NE.DI.DINGIRINNIN; ESHEMEN2, ESHEMIN2)","–",737
"𒆠𒂗𒆕","𒆠𒂗𒆕","KI.EN.GAG","KI.EN.GAG (BUR11, BURU11, MUR6, MURU6, MURUM6)","KI.EN.GAG (BUR<sub>11</sub>, BURU<sub>11</sub>, MUR<sub>6</sub>, MURU<sub>6</sub>, MURUM<sub>6</sub>)","737+164+379","461+099+230","U+121A0 & U+12097 &U+12195 (KI & EN & KAK)","KI.EN.GAG (BUR11, BURU11, MUR6, MURU6, MURUM6)","KI.EN.GAG (BUR11, BURU11, MUR6, MURU6, MURUM6)","–",737
"𒆠𒂗𒄀","𒆠𒂗𒄀","KI.EN.GI","KI.EN.GI (ŠUMER)","KI.EN.GI (<font color=""#c5000b"">ŠUMER</font> <font color=""#878787"">(Labat: ?, or ŠUMER =? KI.IN.GI (nos. 737+261+141); MesZL: ŠUMER missing)</font>)","737+164+141","461+099+085","U+121A0 & U+12097 & U+12100 (KI & EN & GI)","KI.EN.GI (ŠUMER (Labat: ?, or ŠUMER =? KI.IN.GI (nos. 737+261+141); MesZL: ŠUMER missing))","KI.EN.GI (SHUMER)","–",737
"𒆠𒆕","𒆠𒆕","KI.GAG","KI.GAG (SUR7)","KI.GAG (SUR<sub>7</sub>)","737+379","461+230","U+121A0 & U+12195 (KI & KAK)","KI.GAG (SUR7)","KI.GAG (SUR7)","–",737
"𒆠𒃲","𒆠𒃲","KI.GAL","KI.GAL (SUR6)","KI.GAL (SUR<sub>6</sub>)","737+553","461+343","U+121A0 & U+120F2 (KI & GAL)","KI.GAL (SUR6)","KI.GAL (SUR6)","–",737
"𒆠𒍇","𒆠𒍇","KI.GIŠGAL","KI.GIŠGAL (DAGAN, DAGGAN, DAKAN, DAKKAN, SUKU4)","KI.GIŠGAL (DAGAN <font color=""#878787"">(MesZL: ?)</font>, DAGGAN <font color=""#878787"">(MesZL: ?)</font>, DAKAN, DAKKAN, SUKU<sub>4</sub>)","737+080","461+049*","U+121A0 & U+12347 (KI & URU TIMES MIN)","KI.GIŠGAL (DAGAN (MesZL: ?), DAGGAN (MesZL: ?), DAKAN, DAKKAN, SUKU4)","KI.GISHGAL (DAGAN, DAGGAN, DAKAN, DAKKAN, SUKU4)","–",737
"𒆠𒅁","𒆠𒅁","KI.IB","KI.IB (EŠŠEB)","KI.IB (EŠŠEB)","737+807","461+535","U+121A0 & U+12141 (KI & IB)","KI.IB (EŠŠEB)","KI.IB (ESHSHEB)","–",737
"𒆠𒅔𒄀","𒆠𒅔𒄀","KI.IN.GI","KI.IN.GI (ŠUMER)","KI.IN.GI (<font color=""#c5000b"">ŠUMER</font> <font color=""#878787"">(Labat: ?, or ŠUMER =? KI.EN.GI (nos. 737+164+141); MesZL: ŠUMER missing)</font>)","737+261+141","461+148+085","U+121A0 & U+12154 & U+12100 (KI & IN & GI)","KI.IN.GI (ŠUMER (Labat: ?, or ŠUMER =? KI.EN.GI (nos. 737+164+141); MesZL: ŠUMER missing))","KI.IN.GI (SHUMER)","–",737
"𒆠𒆗","𒆠𒆗","KI.KAL","KI.KAL (BAD4, DUBAD, GARAŠ5, ḪIRIM, ḪIRIN, KANKAL, KARAŠ2, KIGALLA, KIKLA, SAS, ULUDIM, ULUDIN, ULUTIM, ULUTIN)","KI.KAL (BAD<sub>4</sub>, DUBAD, GARAŠ<sub>5</sub>, ḪIRIM, ḪIRIN, KANKAL, KARAŠ<sub>2</sub>, <font color=""#c5000b"">KIGALLA</font> <font color=""#878787"">(Labat; MesZL: KIGALLA missing)</font>, KIKLA, SAS, ULUDIM, ULUDIN, ULUTIM, ULUTIN)","737+496","461+322","U+121A0 & U+12197 (KI & KAL)","KI.KAL (BAD4, DUBAD, GARAŠ5, ḪIRIM, ḪIRIN, KANKAL, KARAŠ2, KIGALLA (Labat; MesZL: KIGALLA missing), KIKLA, SAS, ULUDIM, ULUDIN, ULUTIM, ULUTIN)","KI.KAL (BAD4, DUBAD, GARASH5, HIRIM, HIRIN, KANKAL, KARASH2, KIGALLA, KIKLA, SAS, ULUDIM, ULUDIN, ULUTIM, ULUTIN)","–",737
"𒆠𒆗𒁁","𒆠𒆗𒁁","KI.KAL.BAD","KI.KAL.BAD (GARAŠ2, KARAŠ)","KI.KAL.BAD (GARAŠ<sub>2</sub> <font color=""#878787"">(MesZL: also KI.ALAD (= KI.ALxBAD)</font>, KARAŠ <font color=""#878787"">(MesZL: also KI.ALAD (= KI.ALxBAD))</font>)","737+496+113","461+322+069","U+121A0 & U+12197 &U+12041 (KI & KAL & BAD)","KI.KAL.BAD (GARAŠ2 (MesZL: also KI.ALAD (= KI.ALxBAD)), KARAŠ (MesZL: also KI.ALAD (= KI.ALxBAD)))","KI.KAL.BAD (GARASH2, KARASH)","–",737
"𒆠𒆠","𒆠𒆠","KI.KI","KI.KI (KU11.KU11; KUKKU3 UTTE, UTU4)","KI.KI (KU<sub>11</sub>.KU<sub>11</sub>; KUKKU<sub>3</sub> UTTE, UTU<sub>4</sub>)","737+737","461+461","U+121A0 & U+121A0 (KI & KI)","KI.KI (KU11.KU11; KUKKU3 UTTE, UTU4)","KI.KI (KU11.KU11; KUKKU3 UTTE, UTU4)","–",737
